Slime ID, Wave Number, Player Distance Fitness, Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Slime View Range Gene, Slime View Range Trait, Tower View Range Gene, Tower View Range Trait, Player View Range Gene, Player View Range Trait, Wall View Range Gene, Wall View Range Trait, Sheep View Range Gene, Sheep View Range Trait, Slime Attraction Gene, Slime Attraction Trait, Tower Attraction Gene, Tower Attraction Trait, Player Attraction Gene, Player Attraction Trait, Wall Attraction Gene, Wall Attraction Trait, Sheep Attraction Gene, Sheep Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Sprint Duration Gene, Sprint Duration Trait, Sprint Cooldown Gene, Sprint Cooldown Trait, 
10,0,752.3721,N/A,N/A,Ice,Fire,0.1732998,0.2775444,1.436227,0.3450334,-3.40334,5.488866,0.8609226,6.952565,1.230213,4.33489,5.167983,9.58727,0.1784342,5.167028,-1.372395,0.4150569,-1.125366,-0.5653561,2.484698,0.3889712,2.499961,-0.7981883,3.22344,0.8588607,0.2187822,0.2704486,-1.282756,2.089954,1.024139,0.2237465,-1.519742,2.030712,-4.876324,0.03783648,
11,0,761.2749,N/A,N/A,Blaster,Balanced,-0.5129647,0.2444858,0.7365428,0.3066423,-2.243335,6.450318,0.7788779,6.869045,-0.05756735,3.661213,-0.7081894,4.533752,-1.132206,4.255469,-2.461013,0.3508618,-0.4394864,-0.5042104,1.903115,0.3255919,-0.2386815,-0.8869211,-0.4961188,0.7059864,-0.6438918,0.1679083,-2.949052,1.63096,0.4310074,0.1990491,-4.775136,1.162914,-0.5502177,1.82907,
12,0,767.3519,N/A,N/A,Blaster,Balanced,1.643238,0.3568206,5.328339,0.5822665,-2.626854,6.122174,0.5758605,6.665201,-4.166532,2.149005,-2.5292,3.452733,3.228657,7.779098,2.63024,0.6587121,-0.2279617,-0.4842299,-0.5653089,0.02932799,-3.29146,-0.943899,2.222266,0.8257162,3.868576,0.6252458,0.3845461,2.654384,0.6620948,0.2084199,2.390092,3.225447,-3.871511,0.1020098,
13,0,771.8041,N/A,N/A,Ice,Laser,-0.5550269,0.2425487,-0.8162233,0.2307545,1.246627,9.659344,4.27856,10.83066,1.231914,4.335835,-3.2154,3.120746,0.2738979,5.23923,1.439585,0.5890154,1.548107,-0.2972375,1.663951,0.2986108,1.247943,-0.8439628,1.70134,0.8061734,2.731326,0.530913,1.86964,3.244763,1.768723,0.2577265,-0.3190687,2.400344,0.9227141,3.577974,
14,0,726.8884,N/A,N/A,Ice,Fire,0.364076,0.2872084,2.762803,0.4232858,1.517307,9.90566,0.3456776,6.439086,-1.737357,2.924235,-1.804896,3.847199,-0.3108169,4.809111,1.347119,0.5834081,1.126582,-0.3444892,2.781716,0.4200184,1.953814,-0.8192903,0.2866296,0.744912,-1.620402,0.04741418,1.033692,2.902683,-1.743917,0.1260903,0.1595772,2.549861,0.1096077,2.636873,
15,0,713.9562,N/A,N/A,Blaster,Player,-1.557179,0.1995204,-0.9616398,0.2243646,1.073955,9.500828,-0.09058031,6.025737,2.150343,4.864132,-1.932746,3.774199,0.8507535,5.691193,-0.1338035,0.4916381,-1.887483,-0.6266831,0.8747632,0.2063398,4.20087,-0.7210715,-0.373812,0.712293,-2.295447,-0.03691411,0.2010597,2.587058,0.2956181,0.1937078,3.093085,3.421141,0.5631016,3.185849,
16,0,768.2009,N/A,N/A,Acid,Acid,1.870655,0.3699721,-2.881354,0.1518276,2.570986,10.83061,-1.501177,4.83355,2.503715,5.075576,-1.487518,4.034745,-0.5337262,4.652925,-0.9568821,0.4404784,1.209835,-0.3352848,0.398123,0.1486557,-0.01105251,-0.8810869,-0.4313893,0.7093342,0.6840329,0.3234577,-2.352537,1.783565,-2.255666,0.1126537,-2.603188,1.71405,-2.925644,0.2545017,
17,0,770.3403,N/A,N/A,Blaster,Laser,-1.231197,0.2128553,-2.769784,0.1554544,2.205592,10.5169,-1.562634,4.78675,0.04663118,3.712396,-4.125256,2.739313,1.635623,6.345757,2.868002,0.6719462,-3.06039,-0.7076939,0.5823565,0.1710951,2.064157,-0.81517,-3.586646,0.5258117,3.044544,0.5584432,1.064922,2.91502,0.3478931,0.1957571,-0.2374603,2.425816,-1.999445,0.5963058,
18,0,763.2877,N/A,N/A,Laser,Laser,4.417328,0.5260594,1.747205,0.3628077,-1.137518,7.440707,1.035277,7.132174,2.76221,5.232496,2.585341,7.187411,-0.6459268,4.575973,3.530394,0.7073604,-1.838416,-0.6229442,-0.1035633,0.08683527,-0.5280595,-0.8939762,5.599216,0.9168123,1.336371,0.3944393,0.03889216,2.528619,-2.305522,0.1114138,2.317726,3.204683,-1.103696,1.24524,
19,0,758.6672,N/A,N/A,Acid,Fire,1.657356,0.357631,3.574419,0.4734263,1.195349,9.612373,2.032103,8.209144,-1.80615,2.897651,0.08078407,5.09396,-0.4119627,4.7377,3.387783,0.699926,-2.128772,-0.6446539,-4.566601,-0.4388658,0.8047199,-0.8580052,-2.456717,0.5952762,2.435079,0.5037994,1.796582,3.213908,2.240843,0.2809429,-0.7436315,2.268282,0.2309036,2.787354,
20,0,744.3046,N/A,N/A,Acid,Fire,2.367669,0.399372,-1.311105,0.2095275,-0.8722962,7.685448,0.9753271,7.070096,0.7447363,4.07078,-1.07882,4.289617,-4.225012,2.701331,3.258943,0.6931177,1.436285,-0.3099267,-1.421961,-0.07758886,1.130273,-0.8477978,-1.240054,0.6659639,0.2927634,0.2789983,-2.842031,1.657406,0.6669766,0.2086213,0.4457518,2.639153,-1.751976,0.7389906,
21,0,771.817,N/A,N/A,Ice,Blaster,0.6200498,0.3004854,-0.02001771,0.2679586,-0.9375014,7.625094,-1.367513,4.936826,3.7316,5.832314,1.396388,6.141791,-0.5837939,4.618448,1.70053,0.6047108,1.497426,-0.303002,-0.6209253,0.02238059,-0.8128309,-0.9005372,-0.9321022,0.682866,2.408376,0.5013045,3.131336,3.80376,-1.073304,0.1457506,2.200228,3.170744,-1.701114,0.7715994,
22,0,764.9581,N/A,N/A,Acid,Lightning,-2.925959,0.1503971,2.687385,0.4186899,-0.003431361,8.496782,-0.8704687,5.338765,-3.219393,2.412619,-1.152889,4.242308,-0.9254403,4.389152,-1.69369,0.3956981,2.420023,-0.1949688,2.409381,0.3809518,1.709967,-0.8281409,1.832676,0.8112524,1.97722,0.4598747,-1.331017,2.075203,-1.12468,0.1441587,0.07661171,2.523941,-1.784654,0.7186469,
23,0,740.0841,N/A,N/A,Ice,Player,-1.961258,0.1838745,-1.119426,0.2175747,-0.2094106,8.303722,-1.227808,5.046949,1.53176,4.504504,-0.06692552,4.984969,0.04048691,5.064042,2.423394,0.6469932,-0.1118939,-0.4730456,0.2923069,0.1356961,-1.914898,-0.9226368,0.8388881,0.7702497,-1.424165,0.07185531,4.938519,4.671244,1.63853,0.2515491,-4.017209,1.340482,-1.009885,1.335012,
24,0,734.0803,N/A,N/A,Lightning,Lightning,-2.342156,0.1700124,0.5306007,0.2958061,2.189111,10.50256,1.11667,7.216984,1.857794,4.69223,2.360402,6.984043,-1.181667,4.224061,-1.697682,0.3954595,-0.07660331,-0.4696143,-0.3093153,0.06125879,-1.951724,-0.9232914,-1.912007,0.6276149,-1.641527,0.04477918,-0.3430462,2.394954,-1.742971,0.1261163,-2.437122,1.761117,1.601299,4.160999,
25,0,755.6468,N/A,N/A,Fire,Acid,-1.172628,0.2153189,3.467879,0.4667914,-0.1590986,8.350864,-4.684992,2.944884,6.112849,7.290661,3.31038,7.855078,-0.755227,4.502087,-0.8936085,0.4443806,0.532594,-0.4081802,0.8191294,0.1996722,-3.011844,-0.9400803,1.99013,0.8172061,-2.841358,-0.1047837,4.653078,4.530582,1.028211,0.2239234,1.236488,2.883355,4.988226,4.966142,
26,0,771.5035,N/A,N/A,Balanced,Blaster,0.1866809,0.2782157,0.83859,0.312093,0.3085029,8.789079,-2.022026,4.450508,-1.378127,3.067658,1.281427,6.045114,-0.3588653,4.775076,-1.336945,0.4172102,3.576262,-0.05291784,-3.028248,-0.2715449,2.802721,-0.7857205,0.1010297,0.7359954,-0.3039774,0.2088828,0.06052016,2.536355,0.2922748,0.1935773,0.4672789,2.645859,-0.5669717,1.809679,
27,0,737.543,N/A,N/A,Laser,Fire,1.099933,0.3262892,-1.371116,0.2070534,2.204396,10.51586,-4.220786,3.157039,-1.023093,3.217024,1.355145,6.107005,-0.6303838,4.586566,0.1686749,0.5105406,0.3959994,-0.42231,2.630647,0.4043437,-3.507156,-0.946687,2.429144,0.8330342,-3.253043,-0.1553619,0.2370593,2.600167,-1.227151,0.1410268,-1.589655,2.00967,0.5150174,3.12991,
28,0,754.9583,N/A,N/A,Fire,Balanced,-1.126054,0.2172927,0.5837132,0.2985794,-3.390315,5.499115,1.054411,7.152057,1.745496,4.627089,-0.2893489,4.824383,0.3814074,5.321444,0.04467078,0.5027919,-2.046548,-0.6386074,0.07707568,0.1091973,0.1509774,-0.8767769,1.430143,0.7953589,-1.1437,0.1066306,-1.411463,2.050814,-1.859696,0.1229352,0.2854311,2.589159,-2.091092,0.5498282,
29,0,758.5347,N/A,N/A,Laser,Balanced,3.384977,0.4616366,-1.894298,0.1863999,-1.986153,6.675317,-1.469465,4.857868,0.1313934,3.754486,2.840838,7.420828,-0.1432671,4.929369,-2.225133,0.3644079,-2.650762,-0.6811976,-0.01569255,0.09772551,-1.44889,-0.9139009,5.81053,0.9207537,2.930302,0.5485381,-0.3536264,2.391331,-1.785069,0.124961,-0.8676301,2.229924,-2.112994,0.5392013,
30,0,742.0678,N/A,N/A,Player,Lightning,4.48008,0.529969,-0.7311029,0.2345535,-0.218972,8.294765,-0.5420857,5.619729,-0.653173,3.380694,2.367265,6.990215,-2.806015,3.314035,1.583878,0.5977189,0.9102543,-0.3680954,3.765584,0.5158716,-0.4747064,-0.8927052,-4.252645,0.484215,-0.5720683,0.1766198,-4.081985,1.374921,-1.735286,0.1263282,-3.369922,1.505063,-1.695285,0.7754102,
31,0,760.9229,N/A,N/A,Fire,Player,2.9377,0.4339938,1.015474,0.3216648,-2.53247,6.20206,1.244528,7.351414,-0.7062483,3.356709,-2.70336,3.364706,-3.135545,3.157359,2.841009,0.6704569,4.49858,0.06224203,-0.2332359,0.07072723,0.3369817,-0.8716643,3.045614,0.8533853,-0.7574219,0.1540852,-2.386974,1.774408,-0.7478719,0.156175,0.2817748,2.588018,-0.03599439,2.455012,
32,0,760.8887,N/A,N/A,Player,Ice,0.757492,0.3077569,-0.2503645,0.2568146,-1.336161,7.258869,0.6448069,6.733971,2.421666,5.026144,4.012488,8.511707,-2.155922,3.650253,1.781297,0.6095269,1.155233,-0.3413289,-2.345484,-0.1908175,-3.192091,-0.9425689,-2.089277,0.6172001,-2.772707,-0.0962891,2.156904,3.367779,2.735187,0.3065702,3.037542,3.406101,-0.5309734,1.851449,
33,0,766.8407,N/A,N/A,Lightning,Lightning,1.002778,0.3209726,1.142047,0.3286079,-0.9230289,7.63848,-0.002860306,6.107216,0.390086,3.885414,2.257982,6.89219,0.1371557,5.136043,-1.815142,0.3884611,1.715598,-0.2780342,-1.556008,-0.09422058,-1.302544,-0.9109781,0.05492501,0.7337497,-0.08990844,0.2343255,1.508095,3.093833,0.2660508,0.1925559,2.081084,3.136055,-0.07602862,2.40501,
34,0,766.6666,N/A,N/A,Acid,Ice,0.4924838,0.2938249,-2.293129,0.171749,0.171891,8.661123,3.254405,9.617162,0.02236083,3.700419,2.907555,7.482152,1.798511,6.48667,-1.200691,0.4255153,0.5751103,-0.4037416,0.07563289,0.109019,2.676514,-0.7909847,0.9754555,0.7762358,-0.2957135,0.2098705,0.02640608,2.52416,0.1922576,0.1897039,-0.3838027,2.380154,-0.9625449,1.381845,
35,0,770.1864,N/A,N/A,Acid,Ice,-1.039619,0.2209903,-1.539312,0.2002347,-1.731864,6.901274,0.897477,6.989985,0.7427842,4.069741,-1.835865,3.829382,1.010714,5.821079,0.531129,0.5331469,1.841055,-0.2635021,-2.919459,-0.2589032,0.2818176,-0.8731991,-3.863372,0.5085384,2.250045,0.4863403,3.187701,3.829785,2.23838,0.2808186,1.493955,2.961509,-2.106752,0.5422113,
36,0,762.1763,N/A,N/A,Ice,Ice,0.5243701,0.2954817,1.588347,0.3536775,3.122043,11.28685,-1.044785,5.194593,2.317259,4.963529,1.845943,6.527999,-2.113453,3.6735,-0.2123102,0.4867337,0.9356835,-0.3653442,2.196996,0.3580301,-1.108039,-0.906955,-0.07293394,0.7274586,1.340971,0.3949246,0.539553,2.71225,0.263475,0.1924558,1.728693,3.031962,0.2536792,2.815409,
37,0,771.5051,N/A,N/A,Fire,Acid,-0.7666239,0.2329629,2.095598,0.3831733,3.802148,11.81835,1.986742,8.15848,0.7333453,4.064723,1.205564,5.981811,-3.017233,3.212569,1.471497,0.5909452,-0.7323641,-0.5310062,3.008982,0.4431331,-2.782508,-0.9367681,-3.350685,0.5404933,-1.274306,0.09046376,1.438133,3.065144,1.369567,0.2391021,2.31361,3.203499,-1.226965,1.133566,
38,0,749.4962,N/A,N/A,Blaster,Blaster,-2.897163,0.1513193,-2.939879,0.149953,0.7332991,9.185549,5.7062,12.49594,0.5679455,3.977545,-1.277686,4.163718,-0.7821391,4.484058,5.804558,0.8101737,3.642889,-0.04460925,2.235972,0.3622701,-3.234952,-0.9431462,-0.7805715,0.6910125,-0.5080433,0.1843621,-1.367539,2.0641,3.525202,0.3500773,-0.5576247,2.326024,0.2410877,2.799908,
39,0,751.5398,N/A,N/A,Lightning,Balanced,-1.001773,0.2226234,-1.454245,0.2036621,2.3167,10.61316,0.3469176,6.44029,0.902252,4.155201,-2.729912,3.351515,2.21527,6.854032,1.988626,0.6217909,1.185543,-0.3379772,-0.6123659,0.0234499,-0.7124546,-0.8982668,0.3348801,0.7471973,0.2996642,0.2797935,-2.294807,1.799015,-5.296292,0.05603709,0.835296,2.760086,1.041953,3.696134,
40,0,700.2258,N/A,N/A,Fire,Blaster,0.3636119,0.2871847,3.094729,0.4436609,0.9286409,9.366712,0.221996,6.319849,1.467631,4.468097,0.9188113,5.746222,2.252362,6.887165,1.109305,0.5688906,5.101088,0.1367735,3.065556,0.4487983,-3.07525,-0.940967,4.953575,0.9036447,-3.196096,-0.1484079,-1.77207,1.944497,0.480301,0.2010211,2.769742,3.332542,0.7251624,3.368714,
41,0,753.5236,N/A,N/A,Fire,Blaster,-0.2696262,0.2558966,1.713348,0.3608532,2.245918,10.55192,0.1317464,6.233858,3.847642,5.904788,3.512205,8.043258,4.645228,9.103593,0.6750868,0.542093,2.911894,-0.1351806,1.115302,0.234941,1.717184,-0.827884,-4.678172,0.4577155,0.09266303,0.2557755,0.6637535,2.759266,-2.191877,0.1142578,-0.5380109,2.332125,0.6634977,3.300228,
42,0,770.1564,N/A,N/A,Player,Laser,-0.8955635,0.2272525,2.72875,0.4212089,-1.691813,6.937154,1.541742,7.669355,0.7394418,4.067964,0.9154445,5.743492,0.6294321,5.51468,0.5321513,0.5332105,-2.267094,-0.6546463,-1.288984,-0.06104702,1.834643,-0.8236593,-1.433273,0.6551335,0.2749121,0.2769392,1.9557,3.281335,-2.753318,0.1008034,0.1772015,2.555367,-0.000199473,2.499751,
43,0,756.3472,N/A,N/A,Blaster,Player,1.427977,0.3445674,0.3334821,0.2856452,-1.515533,7.095944,3.238838,9.598838,1.52686,4.501716,0.1044839,5.11162,-1.500585,4.026845,-1.707855,0.3948516,-0.5378392,-0.513322,1.088563,0.2317805,-1.741465,-0.9194847,1.142312,0.7833978,0.4121738,0.2927046,-0.4024395,2.374672,-1.532172,0.1320397,-0.2553113,2.420242,-1.558787,0.8691041,
44,0,769.7932,N/A,N/A,Acid,Ice,0.03868547,0.2708472,0.4313403,0.2906633,0.9558935,9.39191,-2.129634,4.37519,2.629097,5.151475,0.07949893,5.093004,-2.293596,3.575986,2.366693,0.643749,4.512922,0.06402755,-1.889919,-0.1354031,3.911654,-0.7353788,-2.896865,0.5685123,0.4601222,0.298175,2.13753,3.359399,2.352508,0.2866167,-2.220059,1.823509,-5.409931,0.0222602,
45,0,746.4199,N/A,N/A,Balanced,Lightning,4.454855,0.5283979,-1.240353,0.2124721,2.398538,10.68359,3.271126,9.636849,-0.2029493,3.590835,-2.537642,3.448406,1.622809,6.33474,-1.124949,0.4301505,1.511811,-0.3013681,-3.609221,-0.3373974,-0.6812738,-0.8975523,0.8392314,0.7702649,-0.1409972,0.2282811,0.8010142,2.811892,-0.0003343389,0.1824131,2.296968,3.198707,-3.545548,0.1402183,
46,0,732.8804,N/A,N/A,Ice,Laser,-0.8283423,0.2302171,-2.615743,0.1605777,1.736802,10.10314,1.704927,7.846988,4.629375,6.39255,0.5558389,5.456831,-1.014679,4.330983,3.709977,0.7165667,-4.06581,-0.7650274,-2.4926,-0.2084736,-1.283571,-0.9105927,1.58799,0.801707,-1.034068,0.1201582,-0.1282967,2.469421,-1.505259,0.1328128,-2.672806,1.694498,3.124367,4.789434,
47,0,770.817,N/A,N/A,Blaster,Player,1.643667,0.3568452,-2.096405,0.1788584,-0.7098004,7.836302,-0.06615508,6.048341,-2.500312,2.645058,-1.202004,4.211211,-2.603227,3.414999,-2.146348,0.3689819,0.7888666,-0.3811391,0.03303216,0.1037543,-0.3307693,-0.8892096,0.04290649,0.7331623,-0.2124582,0.2197969,0.2226175,2.594902,0.253459,0.1920669,-2.373852,1.779203,-2.106625,0.542273,
48,0,757.6082,N/A,N/A,Balanced,Lightning,-0.3925385,0.2500896,-0.6415856,0.2385952,-0.94451,7.618613,3.051491,9.378894,1.819119,4.669741,-0.08749214,4.969941,2.836255,7.41662,-1.866807,0.3853972,2.187166,-0.2228036,-0.3770123,0.05282426,-0.1049837,-0.8835253,-1.781077,0.6352324,0.250078,0.2740706,-0.6601815,2.288227,-3.200448,0.09111369,-0.4053886,2.373424,-0.2047987,2.244893,
49,0,763.9182,N/A,N/A,Blaster,Fire,-1.448772,0.2038841,5.362694,0.5843541,-2.732982,6.03306,-0.9785171,5.248993,-1.013485,3.221171,2.561679,7.165917,2.089047,6.741795,1.941349,0.6190074,-1.286936,-0.5789401,-0.08323195,0.08935702,-0.04355978,-0.8819357,-0.3950723,0.7112026,2.92693,0.5482433,-1.018424,2.17232,-3.06346,0.09398976,1.663671,3.01253,1.936863,4.370035,
50,0,745.1815,N/A,N/A,Lightning,Blaster,-1.603547,0.1976754,-1.874272,0.1871604,-2.102681,6.572909,-0.2737625,5.858295,0.4691172,3.926143,-2.53248,3.451051,-1.58059,3.978809,-1.117471,0.4306088,2.064003,-0.2373836,-0.4840754,0.03947008,1.26492,-0.8434031,-3.205621,0.5494861,-1.228429,0.09614837,-0.557725,2.322284,-0.4738958,0.1654155,-0.09853724,2.469209,0.398622,2.991783,
51,0,750.7544,N/A,N/A,Acid,Blaster,-1.776324,0.1909142,0.9922185,0.3203976,-3.612666,5.326004,1.037001,7.133964,1.086684,4.255615,0.5733885,5.470587,0.5235528,5.431587,-2.744341,0.3349045,1.798809,-0.2684093,-0.9122403,-0.0140292,2.76994,-0.787097,0.8821535,0.7721583,1.177874,0.3775799,-0.7847936,2.24735,-4.296177,0.07082769,1.190516,2.869314,2.027344,4.418191,
52,0,766.1611,N/A,N/A,Laser,Laser,-0.4421982,0.2477685,-1.863204,0.1875817,-2.361114,6.348565,3.086777,9.420234,-0.5099565,3.446248,0.060968,5.079231,-1.055409,4.304672,0.06289326,0.5039307,2.496464,-0.18576,0.646098,0.1788188,2.666419,-0.7914017,0.6613167,0.7622997,1.380019,0.3990365,-1.490237,2.027169,0.1769139,0.1891149,-2.902734,1.630713,-2.5663,0.3566952,
53,0,747.2203,N/A,N/A,Acid,Ice,1.744148,0.362631,0.4826324,0.2933142,0.6708249,9.127428,-1.261942,5.019837,-3.878628,2.224257,1.137844,5.925641,-2.416581,3.511046,-3.205734,0.309719,-1.717468,-0.6136054,-0.6309089,0.02113318,4.15865,-0.7231894,0.3391495,0.7473989,0.3629658,0.2870705,-0.8690501,2.22005,-2.424112,0.1085123,3.509844,3.531479,-1.12993,1.22087,
54,0,768.809,N/A,N/A,Fire,Player,-0.2354523,0.2575268,-1.400369,0.2058553,0.1560615,8.646289,-2.119836,4.381994,-2.035019,2.811234,-1.043085,4.312617,0.6906827,5.563151,1.086026,0.5674627,1.243023,-0.3315976,0.6604648,0.1805567,2.332722,-0.8048393,-0.843104,0.6876647,1.106343,0.3698876,3.598566,4.021844,3.081727,0.3252895,3.526621,3.535825,-0.8564861,1.49037,
55,0,711.4911,N/A,N/A,Ice,Acid,-2.19555,0.175247,0.276685,0.2827566,0.4746903,8.944501,-0.6569164,5.520094,1.818654,4.669471,-0.7112579,4.531681,3.112481,7.671348,0.2528573,0.5157983,-0.02506223,-0.4645773,1.928179,0.3283898,-0.8430724,-0.9012123,0.7485918,0.7662306,-2.441893,-0.05518055,1.568782,3.118856,0.7296506,0.21122,2.113486,3.145516,3.081647,4.780646,
56,0,766.8759,N/A,N/A,Balanced,Player,1.023076,0.3220797,1.011081,0.3214252,0.8630381,9.305974,2.499415,8.738665,-2.445467,2.663989,-0.8624736,4.430627,0.1632828,5.155638,-1.623758,0.3998862,0.3942486,-0.4224898,-2.139739,-0.1659191,-1.119936,-0.9072057,-0.4221729,0.709809,-2.353673,-0.04418033,0.1903378,2.583163,-0.3499546,0.1697375,1.383175,2.927986,0.4720691,3.079367,
57,0,764.4085,N/A,N/A,Lightning,Laser,2.763001,0.4232979,3.401549,0.4626665,1.050819,9.479516,0.0341244,6.141819,-1.523048,3.008867,0.593321,5.48624,0.199276,5.182726,-1.494285,0.4076784,0.6513092,-0.3957388,-0.5706775,0.02865744,1.947685,-0.819517,-0.2675588,0.7177059,-1.525898,0.05919337,0.7940416,2.809201,-0.4390711,0.1666209,2.802341,3.341588,2.313234,4.549835,
58,0,685.9944,N/A,N/A,Lightning,Blaster,-0.8546339,0.2290544,1.660821,0.35783,3.594486,11.65999,0.6700453,6.759263,-2.160117,2.76531,1.072583,5.871819,2.285285,6.916629,1.504932,0.5929642,-0.550342,-0.5144721,-3.38074,-0.3118492,-0.1949826,-0.8858208,-1.021157,0.6780251,-4.917951,-0.3493857,-1.101816,2.146047,1.149449,0.2292347,-0.461542,2.355928,-0.4334324,1.966535,
